distance,angle,vertical_height,,,,,
13,0,549,,7,170.5,,6.46655
12,0,506,,8,233,,8.1103
9,0,423,,9,308.5,,10.09595
14,0,532,,10,312.5,,10.20115
8,0,320,,,,,1.9824
10,0,428.5,,12,368,,11.6608
11,0,530,,13,400,,12.5024
